Dataset,K,Threads,Run,SeqTime,ParTime,SeqIt,ParIt
dataset_10000_4.txt,16,16,4,0.0104,0.013384,42,42
dataset_10000_4.txt,16,16,5,0.015452,0.010802,42,42
dataset_200000_4.txt,4,1,1,0.006104,0.006061,4,4
dataset_200000_4.txt,4,1,2,0.006079,0.005901,4,4
dataset_200000_4.txt,4,1,3,0.006199,0.005935,4,4
dataset_200000_4.txt,4,1,4,0.008056,0.005964,4,4
dataset_200000_4.txt,4,1,5,0.006324,0.006868,4,4
dataset_200000_4.txt,4,2,1,0.006087,0.0141,4,4
dataset_200000_4.txt,4,2,2,0.006067,0.012767,4,4
dataset_200000_4.txt,4,2,3,0.006124,0.012676,4,4
dataset_200000_4.txt,4,2,4,0.006262,0.013207,4,4
dataset_200000_4.txt,4,2,5,0.00859,0.013383,4,4
dataset_200000_4.txt,4,4,1,0.006078,0.009474,4,4
dataset_200000_4.txt,4,4,2,0.006152,0.008925,4,4
dataset_200000_4.txt,4,4,3,0.006258,0.008828,4,4
dataset_200000_4.txt,4,4,4,0.00651,0.008713,4,4
dataset_200000_4.txt,4,4,5,0.006096,0.009127,4,4
dataset_200000_4.txt,4,8,1,0.006104,0.007262,4,4
dataset_200000_4.txt,4,8,2,0.006107,0.012689,4,4
dataset_200000_4.txt,4,8,3,0.00609,0.008152,4,4
dataset_200000_4.txt,4,8,4,0.006844,0.020781,4,4
dataset_200000_4.txt,4,8,5,0.006648,0.010037,4,4
dataset_200000_4.txt,4,16,1,0.006069,0.006517,4,4
dataset_200000_4.txt,4,16,2,0.006279,0.006256,4,4
dataset_200000_4.txt,4,16,3,0.006567,0.007258,4,4
dataset_200000_4.txt,4,16,4,0.006108,0.006318,4,4
dataset_200000_4.txt,4,16,5,0.00609,0.006587,4,4
dataset_200000_4.txt,8,1,1,0.135838,0.153596,51,51
dataset_200000_4.txt,8,1,2,0.139077,0.139184,51,51
dataset_200000_4.txt,8,1,3,0.135487,0.137828,51,51
dataset_200000_4.txt,8,1,4,0.134809,0.14262,51,51
dataset_200000_4.txt,8,1,5,0.139183,0.13585,51,51
dataset_200000_4.txt,8,2,1,0.185691,0.144791,51,51
dataset_200000_4.txt,8,2,2,0.139106,0.137642,51,51
dataset_200000_4.txt,8,2,3,0.137228,0.135451,51,51
dataset_200000_4.txt,8,2,4,0.140297,0.136107,51,51
dataset_200000_4.txt,8,2,5,0.135257,0.138367,51,51
dataset_200000_4.txt,8,4,1,0.139442,0.134777,51,51
dataset_200000_4.txt,8,4,2,0.138775,0.136256,51,51
dataset_200000_4.txt,8,4,3,0.139142,0.132875,51,51
dataset_200000_4.txt,8,4,4,0.136221,0.136838,51,51
dataset_200000_4.txt,8,4,5,0.137399,0.144133,51,51
dataset_200000_4.txt,8,8,1,0.139942,0.135447,51,51
dataset_200000_4.txt,8,8,2,0.135499,0.153999,51,51
dataset_200000_4.txt,8,8,3,0.135442,0.149707,51,51
dataset_200000_4.txt,8,8,4,0.137146,0.136572,51,51
dataset_200000_4.txt,8,8,5,0.137974,0.145187,51,51
dataset_200000_4.txt,8,16,1,0.137404,0.074709,51,51
dataset_200000_4.txt,8,16,2,0.136771,0.076577,51,51
dataset_200000_4.txt,8,16,3,0.137997,0.073888,51,51
dataset_200000_4.txt,8,16,4,0.138267,0.07341,51,51
dataset_200000_4.txt,8,16,5,0.138826,0.069405,51,51
dataset_200000_4.txt,16,1,1,0.33724,0.339364,68,68
dataset_200000_4.txt,16,1,2,0.33684,0.341347,68,68
dataset_200000_4.txt,16,1,3,0.334624,0.340575,68,68
dataset_200000_4.txt,16,1,4,0.337167,0.345797,68,68
dataset_200000_4.txt,16,1,5,0.336935,0.344398,68,68
dataset_200000_4.txt,16,2,1,0.332222,0.21667,68,68
dataset_200000_4.txt,16,2,2,0.337345,0.213997,68,68
dataset_200000_4.txt,16,2,3,0.333829,0.217642,68,68
dataset_200000_4.txt,16,2,4,0.337189,0.222015,68,68
dataset_200000_4.txt,16,2,5,0.337594,0.214106,68,68
dataset_200000_4.txt,16,4,1,0.341256,0.157114,68,68
dataset_200000_4.txt,16,4,2,0.337925,0.161034,68,68
dataset_200000_4.txt,16,4,3,0.33417,0.160154,68,68
dataset_200000_4.txt,16,4,4,0.339532,0.162327,68,68
dataset_200000_4.txt,16,4,5,0.334376,0.169525,68,68
dataset_200000_4.txt,16,8,1,0.337827,0.123806,68,68
dataset_200000_4.txt,16,8,2,0.336603,0.125351,68,68
dataset_200000_4.txt,16,8,3,0.334827,0.125922,68,68
dataset_200000_4.txt,16,8,4,0.341375,0.128125,68,68
dataset_200000_4.txt,16,8,5,0.334134,0.147073,68,68
dataset_200000_4.txt,16,16,1,0.336583,0.128548,68,68
dataset_200000_4.txt,16,16,2,0.334199,0.133871,68,68
dataset_200000_4.txt,16,16,3,0.337469,0.119356,68,68
dataset_200000_4.txt,16,16,4,0.336819,0.122702,68,68
dataset_200000_4.txt,16,16,5,0.33642,0.127886,68,68
dataset_200000_4.txt,31,1,1,2.245887,2.308196,243,243
dataset_200000_4.txt,31,1,2,2.252706,2.298125,243,243
dataset_200000_4.txt,31,1,3,2.253789,2.306774,243,243
dataset_200000_4.txt,31,1,4,2.260215,2.305959,243,243
dataset_200000_4.txt,31,1,5,2.247454,2.296178,243,243
dataset_200000_4.txt,31,2,1,2.243859,1.345783,243,243
dataset_200000_4.txt,31,2,2,2.251997,1.308223,243,243
dataset_200000_4.txt,31,2,3,2.25795,1.333289,243,243
dataset_200000_4.txt,31,2,4,2.242627,1.333106,243,243
dataset_200000_4.txt,31,2,5,2.254628,1.329537,243,243
dataset_200000_4.txt,31,4,1,2.249443,0.744112,243,243
dataset_200000_4.txt,31,4,2,2.243334,0.746577,243,243
dataset_200000_4.txt,31,4,3,2.238728,0.755714,243,243
dataset_200000_4.txt,31,4,4,2.263234,0.743999,243,243
dataset_200000_4.txt,31,4,5,2.241142,0.750574,243,243
dataset_200000_4.txt,31,8,1,2.253645,0.689045,243,243
dataset_200000_4.txt,31,8,2,2.24187,0.684295,243,243
dataset_200000_4.txt,31,8,3,2.249406,0.716005,243,243
dataset_200000_4.txt,31,8,4,2.244084,0.698835,243,243
dataset_200000_4.txt,31,8,5,2.276481,0.699867,243,243
dataset_200000_4.txt,31,16,1,2.260356,0.81062,243,243
dataset_200000_4.txt,31,16,2,2.249748,0.741718,243,243
dataset_200000_4.txt,31,16,3,2.232985,0.733181,243,243
dataset_200000_4.txt,31,16,4,2.247588,0.805993,243,243
dataset_200000_4.txt,31,16,5,2.260275,0.686632,243,243
